City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
103,torbay,light snow,CA,1614162046,86,47.6666,-52.7314,0,7.2
104,palmer,overcast clouds,US,1614166333,65,42.1584,-72.3287,6.11,4.63
105,kongoussi,clear sky,BF,1614234271,18,13.3258,-1.5347,21.12,3.53
106,codrington,overcast clouds,AU,1614197512,59,-38.2667,141.9667,18.2,7.17
107,new norfolk,overcast clouds,AU,1614195964,70,-42.7826,147.0587,13.89,1.79
108,taoudenni,clear sky,ML,1614235242,32,22.6783,-3.9836,15.44,5.37
109,qaanaaq,overcast clouds,GL,1614173962,86,77.484,-69.3632,-10.85,2.63
110,ushuaia,broken clouds,AR,1614160005,70,-54.8,-68.3,6,11.83
111,jamestown,overcast clouds,US,1614167985,87,42.097,-79.2353,3.33,9.77
112,atuona,clear sky,PF,1614179976,76,-9.8,-139.0333,26.2,4.83
113,dingle,broken clouds,PH,1614204380,69,10.9995,122.6711,28.37,4.22
114,albany,overcast clouds,US,1614166756,43,42.6001,-73.9662,7.22,4.53
115,fairbanks,clear sky,US,1614187006,85,64.8378,-147.7164,-7.78,2.29
116,karpathos,clear sky,GR,1614228378,67,35.507,27.2132,14,16.98
117,chokurdakh,overcast clouds,RU,1614203978,88,70.6333,147.9167,-28.9,2.47
118,sinnamary,scattered clouds,GF,1614159919,86,5.3833,-52.95,25.1,6.7
119,gushikawa,clear sky,JP,1614203780,68,26.3544,127.8686,23,8.23
120,hilo,moderate rain,US,1614185007,73,19.7297,-155.09,24,3.6
121,paris,clear sky,FR,1614235229,76,48.8534,2.3488,12.22,1.54
122,east london,light rain,ZA,1614225229,76,-33.0153,27.9116,19.82,2.67
123,provideniya,clear sky,RU,1614279229,66,64.3833,-173.3,-14,12
124,hilo,moderate rain,US,1614185007,73,19.7297,-155.09,24,3.6
125,carnarvon,clear sky,AU,1614205076,46,-24.8667,113.6333,33,6.69
126,tasiilaq,overcast clouds,GL,1614160822,68,65.6145,-37.6368,-4,1.03
129,ribeira grande,broken clouds,PT,1614241956,63,38.5167,-28.7,12.89,7.85
131,bitung,scattered clouds,ID,1614203407,66,1.4451,125.1824,31,2.57
132,waitati,overcast clouds,NZ,1614190074,62,-45.75,170.5667,15,3.13
133,beringovskiy,overcast clouds,RU,1614194552,93,63.05,179.3167,-19.74,8.76
134,barrow,clear sky,US,1614190996,68,71.2906,-156.7887,-33,5.66
135,san cristobal,scattered clouds,VE,1614164638,91,7.7669,-72.225,19.24,0.75
136,carnarvon,clear sky,AU,1614205076,46,-24.8667,113.6333,33,6.69
137,lagoa,clear sky,PT,1614241815,67,39.05,-27.9833,12.75,8.49
139,new norfolk,overcast clouds,AU,1614195964,70,-42.7826,147.0587,13.89,1.79
140,tuktoyaktuk,few clouds,CA,1614184675,67,69.4541,-133.0374,-39,1.54
141,qaanaaq,overcast clouds,GL,1614173962,86,77.484,-69.3632,-10.85,2.63
142,bahia blanca,clear sky,AR,1614160071,21,-38.7196,-62.2724,25.17,3.58
143,mocuba,overcast clouds,MZ,1614223843,98,-16.8392,36.9856,22.48,0.64
145,clyde river,overcast clouds,CA,1614169599,85,70.4692,-68.5914,-18,2.57
146,kathu,few clouds,TH,1614210099,65,7.9178,98.3332,29,2.06
147,bredy,broken clouds,RU,1614221650,87,52.4153,60.3411,-26.38,4.24
149,severo-kurilsk,overcast clouds,RU,1614198532,93,50.6789,156.125,-2.9,4.1
150,punta arenas,broken clouds,CL,1614160842,73,-53.15,-70.9167,7.99,5.25
152,puerto ayora,overcast clouds,EC,1614168654,90,-0.7393,-90.3518,26.67,4.02
154,abu kamal,clear sky,SY,1614225035,51,34.4506,40.9171,9.55,4.12
